plywood, pren tair haen, celf,
boundary, terfyn, celf,
bow knot pattern, patrwm cwlwm dolen, celf,
box, bocs, celf,
box, blwch, celf,
box wood, pren bocs, celf,
boxwood ruler, riwl pren bocs, celf,
brace, cledd, celf,
brace, cleddu, celf,
bracket, braced, celf,
bradawl, mynawyd, celf,
braid, brêd, celf,
braid loom, gwŷdd brêd, celf,
brass, pres, celf,
brass drawing pin, pìn bawd pres, celf,
brass eyelet, llygaden bres, celf,
brass rubbing, rhwbiad pres, celf,
brass wire, gwifren bres, celf,
brayer, rholer, celf,
braze, presyddu, celf,
breadth, lled, celf,
brick, bricsen, celf,
brick dust, llwch brics, celf,
bridge, pont, celf,
brief, cryno, celf,
brief, byr, celf,
brief outline, amlinelliad byr, celf,
bright, llachar, celf,
bright colour, lliw llachar, celf,
bright orange, oren llachar, celf,
brightness, disgleirdeb, celf,
brilliance, disgleirdeb, celf,
brilliant, llachar, celf,
brilliant blue, glas llachar, celf,
brilliant colour, lliw llachar, celf,
brilliant green, gwyrdd llachar, celf,
bristle, blewyn, celf,
bristle brush, brwsh blew, celf,
bristol board, bwrdd bryste, celf,
brittle, brau, celf,
brittleness, breuder, celf,
broad, llydan, celf,
broad pen, pen llydan, celf,
broad pen lettering, llythrennu pen llydan, celf,
brochure, llyfryn, celf,
broken colour, rhaniadliw, celf,
broken line, llinell doredig, celf,
bronze, efydd, celf,
brooch, tlws, celf,
brooch back, cefn tlws, celf,
brooch pin, tlysbin, celf,
broomstick, coes ysgubell, celf,
brown, brown, celf,
brown paper, papur llwyd, celf,
brown paper tape, tâp papur llwyd, celf,
brush, brwsh, celf,
brush care, gofal brwsh, celf,
brush handle, coes brwsh, celf,
brush stand, stand brwshys, celf,
brush stroke, strôc brwsh, celf,
brushwork, brwshwaith, celf,
bubble, byrlymu, celf,
bubble, swigen, celf,
bucket, bwced, celf,
buckram, bwcram, celf,
build, adeiladu, celf,
building, adeilad, celf,
bulge, gwrym, celf,
bung, topyn, celf,
bur, masgl pigog, celf,
burin, ysgythrydd, celf,
burlap, bwrlap, celf,
burlesque, bwrlesg, celf,
burn out, llwyrlosgi, celf,
burnish, bwrnais, celf,
burnish, bwrneisio, celf,
burnisher, bwrneisydd, celf,
burnt sienna, sienna llosg, celf,
burnt umber, wmber llosg, celf,
burr, bwr, celf,
burr, ymyl arw, celf,
bust, penddelw, celf,
butter-nut pattern, patrwm cnau menyn, celf,
button, botwm, celf,
button, botymu, celf,
buttonhole stitch, pwyth twll botwm, celf,
buttress, bwtres, celf,
by-product, sgil gynnyrch, celf,
bye-stakes, cil fonynnau, celf,
byzantine, bysantaidd, celf,
cable stitch, pwyth rhaff, celf,
cadmium orange, oren cadmiwm, celf,
cadmium red, coch cadmiwm, celf,
cadmium scarlet, sgarlad cadmiwm, celf,
cadmium yellow, melyn cadmiwm, celf,
cage, cawell, celf,
cake glue, glud slab, celf,
calcareous, calchaidd, celf,
calcinate, calchynnu, celf,
calcination, calchyniad, celf,
calcite, calsit, celf,
calcium carbonate, calsiwm carbonad, celf,
calcium silicate, calsiwm silicad, celf,
calico, calico, celf,
calligraphic, caligraffig, celf,
calligraphic hand, llaw galigraffig, celf,
calligraphist, caligraffydd, celf,
calligraphy, caligraffeg, celf,
calliper, caliper, celf,
