plywood, pren tair haen, celf,
function, swyddogaeth, celf,
functional, swyddogaethol, celf,
functional art, celfyddyd swyddogaethol, celf,
functionalism, swyddogaetholdeb, celf,
functionalist, swyddogaethwr, celf,
fundamental, sylfaenol, celf,
fundamental shape, ffurf sylfaenol, celf,
funnel, twndish, celf,
fur fabric, ffabrig ffwr, celf,
furnace, ffwrnais, celf,
furniture, dodrefn, celf,
furrow, cwys, celf,
fuse, ymdoddi, celf,
fuse, ffiws, celf,
fusible, ymdoddadwy, celf,
fusible clay, clai ymdoddadwy, celf,
fusion, ymdoddiad, celf,
futurism, dyfodoliaeth, celf,
futuristic, dyfodolaidd, celf,
futurists, dyfodolwyr, celf,
gadget, dyfais, celf,
gallery, oriel, celf,
galvanize, galfanu, celf,
galvanized, galfanedig, celf,
galvanized wire, gwifren alfanedig, celf,
gamboge tint, arlliw gamboge, celf,
gargoyle, gargoil, celf,
garment, dilledyn, celf,
gas, nwy, celf,
gate, llidiart, celf,
gauge, medrydd, celf,
gauze, rhwyllen, celf,
gauze cloth, lliain rhwyllog, celf,
gel, gel, celf,
gel medium, cyfrwng gel, celf,
gelatine, gelatin, celf,
gelatine size, seis gelatin, celf,
gelation, geliad, celf,
gem, gem, celf,
genre, genre, celf,
geometric, geometrig, celf,
geometric design, dyluniad geometrig, celf,
geometric shape, siâp geometrig, celf,
geometrical, geometregol, celf,
geometrical proportion, cyfrannedd geometregol, celf,
gesso, geso, celf,
gesture, ystum, celf,
giant, cawr, celf,
gigantic, anferth, celf,
gild, euro, celf,
gilded, goreurog, celf,
gilding metal, metel euro, celf,
gilt, goreurog, celf,
gilt glass, gwydr goreurog, celf,
glair, glaer, celf,
glair, glaeru, celf,
glass, gwydr, celf,
glass mosaic, mosaig gwydr, celf,
glass panel, panel gwydr, celf,
glass slab, slab gwydr, celf,
glasscloth, brethyn llyfnu, celf,
glaze, gwydredd, celf,
glaze, gwydro, celf,
glaze firing, tanio gwydrog, celf,
glaze stain, staen gwydredd, celf,
glazed cotton, cotwm sglein, celf,
glazed paper, papur sglein, celf,
glazing bar, bar gwydro, celf,
gloss, sglein, celf,
gloss paint, paent sglein, celf,
glossy, sgleiniog, celf,
glossy cane, gwialen loyw, celf,
glossy paper, papur sglein, celf,
glossy surface, arwyneb sglein, celf,
glove-puppet, pyped maneg, celf,
glove-puppet movement, symudiad pyped maneg, celf,
glue, glud, celf,
glue, gludio, celf,
glue brush, brwsh glud, celf,
glue kettle, tegell glud, celf,
glue pot, pot glud, celf,
glue size, seis glud, celf,
glycerine, glyserin, celf,
glyptic art, celfyddyd glyptig, celf,
goat-hair brush, brwsh blew gafr, celf,
gold, aur, celf,
gold cushion, clustog aur, celf,
gold leaf, deilen aur, celf,
gold size, seis aur, celf,
gold tooling foil, ffoil offeru aur, celf,
gold tooling leaf, deilen offeru aur, celf,
golden mean, cymedr euraid, celf,
gothic, gothig, celf,
gothic architecture, pensaernïaeth gothig, celf,
gothic art, celfyddyd gothig, celf,
gothic sculpture, cerflunwaith gothig, celf,
gouache, gouache, celf,
gouge, gaing gau, celf,
gouge, cafnu, celf,
gradation, graddiad, celf,
grade of pencil, gradd o bensil, celf,
gradient, graddiant, celf,
graeco-roman, groeg-rufeinig, celf,
graffito, graffito, celf,
grain, graen, celf,
graining, graenio, celf,
graining comb, crib graenio, celf,
grainy surface, arwyneb graenog, celf,
granite, gwenithfaen, celf,
graph, graff, celf,
graph paper, papur graff, celf,
graphic, graffig, celf,
graphic art, celfyddyd graffig, celf,
graphics, graffigwaith, celf,
graphics, graffeg, celf,
graphite, graffit, celf,
grass, gwair, celf,
grated crayon, creon mâl, celf,
graver, crafell, celf,
grease, saim, celf,
greasy, seimlyd, celf,
greek art, celfyddyd groeg, celf,
green ware, crochenwaith heb ei danio, celf,
greens, gwyrddion, celf,
greeting card, cerdyn cyfarch, celf,
grey, llwyd, celf,
grey board, bwrdd llwyd, celf,
grey cardboard, cardbord llwyd, celf,
grey modelling clay, clai modelu llwyd, celf,
grey powdered clay, clai powdr llwyd, celf,
greyscale, graddlwyd, celf,
grid, grid, celf,
grimace, ystum, celf,
grimace, tynnu wyneb, celf,
grind, llifanu, celf,
grinder, llifanydd, celf,
grit, grut, celf,
grog, grog, celf,
groove, rhigol, celf,
grotesque, grotesg, celf,
ground, grwnd, celf,
group, grŵp, celf,
group of objects, grŵp o wrthrychau, celf,
grout, growt, celf,
grout, growtio, celf,
guide, tywys, celf,
guide, tywysydd, celf,
guide line, tywyslinell, celf,
guideline, canllaw, celf,
guillotine, gilotîn, celf,
gum, gwm, celf,
gum arabic, gwm arabig, celf,
gum eraser, dilëwr gwm, celf,
gum paper, papur gwm, celf,
gummed, gymedig, celf,
gummed binding, rhwymyn gwm, celf,
gummed tape, tâp glud, celf,
gunmetal, gwnfetel, celf,
gusset, cwysed, celf,
gypsum, gypswm, celf,
gypsum plaster, plastr gypswm, celf,
hair, blewyn, celf,
half-bound, hanner rhwym, celf,
half-drop pattern, patrwm hanner disgyn, celf,
half-length, hanner hyd, celf,
half-length portrait, portread hanner hyd, celf,
half-mask, hanner masg, celf,
half-tone, hanner tôn, celf,
hall mark, nod gwarant, celf,
halo, lleugylch, celf,
halo, eurgylch, celf,
hammer, morthwyl, celf,
hammer, morthwylio, celf,
hand, llaw, celf,
hand drawn lettering, llythrennu â llaw, celf,
hand embroidery, brodwaith llaw, celf,
hand made, o waith llaw, celf,
hand painting, paentiad llaw, celf,
hand painting, peintio llaw, celf,
hand puppet, pyped llaw, celf,
hand vice, feis law, celf,
hand-out, dalen hysbysebu, celf,
handbook, llawlyfr, celf,
handle, dolen, celf,
handle, carn, celf,
handle, coes, celf,
handle cane, gwialen ddolen, celf,
handling, ymdriniaeth, celf,
handwork, gwaith llaw, celf,
handwriting, llawysgrifen, celf,
hang, hongian, celf,
hang, crogi, celf,
hanging, crog, celf,
hard, caled, celf,
hard cover, clawr caled, celf,
hard rock, craig galed, celf,
hard solder, sodr caled, celf,
hardboard, caledfwrdd, celf,
hardener, caledwr, celf,
hardening and tempering, caledu a thymheru, celf,
hardening material, defnydd caledu, celf,
hardness, caledwch, celf,
harmonic, harmonig, celf,
harmonic colour, lliw harmonig, celf,
harmonic proportion, cyfrannedd harmonig, celf,
harmony, cytgord, celf,
harmony, harmoni, celf,
hatch, lliniogi, celf,
head, pen, celf,
head movement, symudiad y pen, celf,
head wear, gwisg pen, celf,
headline, pennawd, celf,
heat-resisting varnish, farnais gwrth-wres, celf,
heavy colour, lliw trwm, celf,
heavy impasto, impasto trwm, celf,
heddle, brwyd, celf,
hedge, perth, celf,
heelball, cwyr rhwbio, celf,
height, uchder, celf,
hellenic, helenaidd, celf,
hem, hem, celf,
hem, hemio, celf,
hemp, cywarch, celf,
hemp twine, cortyn cywarch, celf,
heraldic, herodrol, celf,
heraldic colour, lliw herodrol, celf,
heraldic lettering, llythrennu herodrol, celf,
herring-bone pattern, patrwm saethben, celf,
herring-bone stitch, pwyth saethben, celf,
hessian, hesian, celf,
heterogeneous, heterogenaidd, celf,
hexagonal, hecsagonol, celf,
hidden, cudd, celf,
hide, croen, celf,
hierarchy, hierarchaeth, celf,
high, uchel, celf,
high relief, cerfwedd uchel, celf,
high renaissance, uchel ddadeni, celf,
highlight, goleubwyntio, celf,
hinge, colfach, celf,
hinge, colfachu, celf,
hinged, colfachog, celf,
historical, hanesyddol, celf,
hoghair brush, brwsh blew mochyn, celf,
hollow, gwag, celf,
hollow, pant, celf,
hollow, pantio, celf,
hollow, cafnu, celf,
hollow head, pen cau, celf,
hollow ware, ceunwyddau, celf,
homogeneity, homogenedd, celf,
homogeneous, homogenaidd, celf,
hone, carreg hogi, celf,
hone, hogi, celf,
honeycomb, diliau mêl, celf,
honeycomb stitch, pwyth crwybr, celf,
honeysuckle pattern, patrwm gwyddfid, celf,
hood, lwfer, celf,
hood, cwfl, celf,
hook, bach, celf,
hook, bachu, celf,
hoop, cylch, celf,
horizon, gorwel, celf,
horizontal, llorweddol, celf,
horizontal control, rheolaeth lorweddol, celf,
horizontal line, llinell lorweddol, celf,
horizontal plane, plân llorweddol, celf,
horizontal pug mill, melin gleio lorweddol, celf,
horror, arswyd, celf,
horseshoe arch, bwa pedol, celf,
hot, gorgynnes, celf,
hot colour, lliw gorgynnes, celf,
hot dipping, dipio poeth, celf,
hot water dye, llifyn dŵr poeth, celf,
household soap, sebon golchi, celf,
hue, arlliw, celf,
human, dynol, celf,
human character, cymeriad dynol, celf,
human figure, ffigur dynol, celf,
human form, ffurf ddynol, celf,
humanisitic art, celfyddyd ddyneiddiol, celf,
humanism, dyneiddiaeth, celf,
humanistic, dyneiddiol, celf,
hydrochloric acid, asid hydroclorig, celf,
hypotenuse, hypotenws, celf,
icon, eicon, celf,
iconic, eiconig, celf,
iconic representation, portread eiconig, celf,
iconoclasm, delwddrylliad, celf,
iconoclast, delwddrylliwr, celf,
iconoclastic, delwddrylliol, celf,
iconographic, eiconograffig, celf,
iconography, eiconograffeg, celf,
idea, syniad, celf,
ideal, delfryd, celf,
idealism, delfrydiaeth, celf,
idealization, delfrydiad, celf,
identical, unfath, celf,
identification, adnabyddiaeth, celf,
identification, uniaethu, celf,
identify, adnabod, celf,
idol, eilun, celf,
illuminate, goliwio, celf,
illuminated, goliwiedig, celf,
illuminated lettering, llythrennu goliwiedig, celf,
illuminated manuscript, llawysgrif oliwiedig, celf,
illuminated script, sgript oliwiedig, celf,
illumination, goliwiad, celf,
illusion, rhith, celf,
illusionism, rhithiolaeth, celf,
illustrate, egluro, celf,
illustrate, darlunio, celf,
illustrated, darluniadol, celf,
illustration, darluniad, celf,
illustration, darlun eglurhaol, celf,
illustration, darlun, celf,
illustrative, darluniadol, celf,
illustrative, enghreifftiol, celf,
image, delw, celf,
image, delwedd, celf,
imaginary background, cefndir dychmygol, celf,
imagination, dychymyg, celf,
imaginative, llawn dychymyg, celf,
imitate, efelychu, celf,
imitation, efelychiant, celf,
immediacy, digyfryngedd, celf,
immerse, trochi, celf,
immersion, trochiad, celf,
immobility, ansymudoledd, celf,
impact, ardrawiad, celf,
impact adhesive, adlyn ardrawol, celf,
impact glue, glud ardrawol, celf,
impact strength, nerth ardrawiad, celf,
impasto, impasto, celf,
impede, rhwystro, celf,
impermeable, anathraidd, celf,
impervious, anhydraidd, celf,
impregnate, trwytho, celf,
impregnation, trwythiad, celf,
impression, argraff, celf,
impressionism, argraffiadaeth, celf,
impressionist, argraffiadydd, celf,
impressionistic, argraffiadol, celf,
imprimatura, imprimatura, celf,
improvisation, creu'n fyrfyfyr, celf,
improvise, addasu byrfyfyr, celf,
impurity, amhuredd, celf,
in proportion, mewn cyfrannedd, celf,
in register, mewn iawn luniad, celf,
in the nude, yn noethlymun, celf,
in the round, yn dri dimensiwn, celf,
in vogue, mewn bri, celf,
inaccurate, gwallus, celf,
inanimate, difywyd, celf,
incise, endorri, celf,
incised alphabet, gwyddor endoredig, celf,
incising knife, cyllell endorri, celf,
incision, endoriad, celf,
incline, goledd, celf,
incline, goleddu, celf,
inclined, ar oledd, celf,
incompatible, anghydnaws, celf,
inconsistency, anghysondeb, celf,
increase, cynnydd, celf,
increase, cynyddu, celf,
indathrene blue, glas indathrin, celf,
indelible ink, inc parhaol, celf,
indent, indeintio, celf,
indentation, indeintiad, celf,
index, mynegai, celf,
index finger, mynegfys, celf,
indian art, celfyddyd india, celf,
indian ink, inc india, celf,
indian oilstone, carreg hogi india, celf,
indian red, coch india, celf,
indicate, dangos, celf,
indication, arwydd, celf,
indicator, dangosydd, celf,
indo-sumerian, indo-swmeraidd, celf,
indoor, dan do, celf,
indoor work, gwaith dan do, celf,
induced, anwythol, celf,
inert, difywyd, celf,
inert colour, lliw difywyd, celf,
infinite, anfeidraidd, celf,
infinity, anfeidredd, celf,
inflammable, fflamadwy, celf,
influence, dylanwad, celf,
influence, dylanwadu, celf,
infrared, isgoch, celf,
ingredient, cynhwysyn, celf,
inhibitor, atalydd, celf,
ink, inc, celf,
ink drier, sychydd inc, celf,
ink roller, rholer inc, celf,
ink thinner, teneuydd inc, celf,
inking in, incio, celf,
inking slab, slab incio, celf,
inkle loom, gwŷdd incl, celf,
inlay, mewnosodiad, celf,
inlay, mewnosod, celf,
innovation, arloesedd, celf,
innovation, newyddbeth, celf,
inscription, arysgrif, celf,
insert, mewnosod, celf,
inserted stitch, pwyth cyswllt, celf,
insertion, mewniad, celf,
inside callipers, caliperau mewnol, celf,
inspiration, ysbrydoliaeth, celf,
inspire, ysbrydoli, celf,
installation, gosodiad, celf,
instruction, cyfarwyddyd, celf,
instrument, offeryn, celf,
insulate, ynysu, celf,
insulated, ynysedig, celf,
insulation, ynysiad, celf,
insulator, ynysydd, celf,
intaglio, intaglio, celf,
intaglio engraving, ysgythriad intaglio, celf,
intarsia, intarsia, celf,
intense, dwys, celf,
intense, angerddol, celf,
intensity, angerdd, celf,
interesting, diddorol, celf,
interior, mewnol, celf,
interior angle, ongl fewnol, celf,
interior decoration, addurn mewnol, celf,
interlace, rhyngles, celf,
interlace, rhynglesio, celf,
interlink, cydgysylltu, celf,
interlock, cydgloi, celf,
intermediate, canolradd, celf,
intermix, cydgymysgiad, celf,
intermix, cydgymysgu, celf,
intermixable, rhyng-gymysgadwy, celf,
intermixture, cydgymysgedd, celf,
internal, mewnol, celf,
international, rhyngwladol, celf,
international paper sizes, meintiau papur rhyngwladol, celf,
interpret, dehongli, celf,
interpretation, dehongliad, celf,
intersection, croestoriad, celf,
intricate, cymhleth, celf,
intricate pattern, patrwm cymhleth, celf,
intrinsic movement, symudiad cynhenid, celf,
intuition, greddf, celf,
invent, dyfeisio, celf,
invention, dyfais, celf,
investiture, arwisgo, celf,
investment, arwisgiad, celf,
inward, mewnol, celf,
iron, haearn, celf,
ironing board, bwrdd smwddio, celf,
irregular, afreolaidd, celf,
irregularity, afreoleidd-dra, celf,
islamic calligraphy, caligraffeg islamaidd, celf,
isolate, arunigo, celf,
isolation, arwahanrwydd, celf,
isometric, isometrig, celf,
isometric projection, tafluniad isometrig, celf,
italian painting, paentiad eidalaidd, celf,
italian painting, peintio eidalaidd, celf,
italic, italig, celf,
italic alphabet, gwyddor italig, celf,
italic pen, pen italig, celf,
italic writing pen, ysgrifbin italig, celf,
ivory, ifori, celf,
ivory black, du ifori, celf,
ivy stem, coesyn iorwg, celf,
jacket, siaced, celf,
japanese, japaneaidd, celf,
japanese print, print japaneaidd, celf,
japanese school, ysgol japaneaidd, celf,
japanese silk, sidan japaneaidd, celf,
jar, jar, celf,
jasper, maen iasbis, celf,
jelly, jeli, celf,
jelly block, bloc jeli, celf,
jelly medium, cyfrwng jeli, celf,
jewellery, gemwaith, celf,
jewellery enamel, enamel gemwaith, celf,
jigger, jiger, celf,
jigsaw cut, toriad herclif, celf,
join, uniad, celf,
joining stitch, pwyth uno, celf,
joint, uniadu, celf,
joint, cymalu, celf,
joint, cymal, celf,
joint, uniad, celf,
jointed, cymalog, celf,
jointed arm, braich gymalog, celf,
jointed figure, ffigur cymalog, celf,
jointed leg, coes gymalog, celf,
jointed marionette, marionét cymalog, celf,
jointed puppet, pyped cymalog, celf,
jug, jwg, celf,
juggler, jyglwr, celf,
jute, jiwt, celf,
jute canvas, cynfas jiwt, celf,
kamares ware, crochenwaith kamares, celf,
kaolin, caolin, celf,
kapok, capoc, celf,
kerf, llifdoriad, celf,
kerosene, cerosin, celf,
key, allweddol, celf,
key block, bloc allwedd, celf,
keying, allweddu, celf,
kickback, ôl-gic, celf,
kickwheel, olwyn gic, celf,
kiln, odyn, celf,
kiln furniture, dodrefn odyn, celf,
kiln shelf, silff odyn, celf,
kinesthetic, cinesthetig, celf,
kinetic, cinetig, celf,
kinetic art, celfyddyd ginetig, celf,
kit, cit, celf,
kitchen paper, papur cegin, celf,
knead, tylino, celf,
knee, pen-glin, celf,
kneel, penlinio, celf,
knife, cyllell, celf,
knife blade, llafn cyllell, celf,
knife handle, carn cyllell, celf,
knife stroke, strôc gyllell, celf,
knit, gwau, celf,
knitting needle, gwaell, celf,
knob, bwlyn, celf,
knocking down iron, haearn fflatio, celf,
knot, cwlwm, celf,
knot, clymu, celf,
knotted stitch, pwyth clwm, celf,
knotting, cuddiwr ceinciau, celf,
knotting, cuddio ceinciau, celf,
kraft paper, papur llwyd, celf,
label, label, celf,
lace, les, celf,
lace, carrai, celf,
lacemaking, sideru, celf,
lacquer, lacro, celf,
lacquer paint, paent lacr, celf,
lacquer solvent, hydoddydd lacr, celf,
ladle, lletwad, celf,
laminate, laminiadu, celf,
laminated, laminedig, celf,
laminboard, astell lafnog, celf,
lamp, lamp, celf,
lamp black, du lamp, celf,
landscape, tirlun, celf,
landscape painting, paentiad tirlun, celf,
landscape painting, peintio tirlun, celf,
language of art, iaith weledol celf, celf,
lantern, llusern, celf,
lapel badge, bathodyn lapél, celf,
lapidary, lapidari, celf,
lapping, goruniad, celf,
lapping cane, gwialen blethu, celf,
lapping line, llinell goruniad, celf,
lard, bloneg, celf,
lard, blonegu, celf,
large-scale, ar raddfa fawr, celf,
lateral, ochrol, celf,
latex, latecs, celf,
latex mould, mowld latecs, celf,
lathe, turn, celf,
lather, trochion sebon, celf,
lather, seboni, celf,
lattice, dellten, celf,
lattice work, delltwaith, celf,
lawning, rhidyllu, celf,
lay figure, ffigur gosod, celf,
lay-in, mewn-osod, celf,
layer, haen, celf,
layer, haenu, celf,
laying-on, rhagliwio, celf,
layout, cynllun, celf,
layout, dyluniad, celf,
lazy daisy stitch, pwyth llygad y dydd, celf,
lead, plwm, celf,
lead glaze, gwydredd plwm, celf,
lead sculpture, cerflunwaith plwm, celf,
lead-free, di-blwm, celf,
leading tray, hambwrdd gosod, celf,
leaf, dalen, celf,
leaf, deilen, celf,
leaf green, gwyrdd y ddeilen, celf,
leaf mosaic, mosaig dail, celf,
leaf print, print deilen, celf,
leaf stitch, pwyth deilen, celf,
leaflet, taflen, celf,
leaflet cover, clawr taflen, celf,
lean paint, paent tenau, celf,
lean pigment, pigment tenau, celf,
leather, lledr, celf,
leather apron, ffedog ledr, celf,
leather cloth, lliain lledr, celf,
leather joint, cymal lledr, celf,
leather thong, carrai ledr, celf,
lectern, darllenfa, celf,
ledge, ysgafell, celf,
legibility, darllenadwyaeth, celf,
legible, darllenadwy, celf,
lemon, lemon, celf,
length, hyd, celf,
length, pwythyn, celf,
lengthen, ymestyn, celf,
letraset, letraset, celf,
letter, llythyren, celf,
lettering, llythreniad, celf,
lettering, llythrennu, celf,
lettering brush, brwsh llythrennu, celf,
lettering chalk, sialc llythrennu, celf,
lettering nib, nib llythrennu, celf,
lettering paper, papur llythrennu, celf,
lettering pen, pen llythrennu, celf,
lettering pencil, pensil llythrennu, celf,
lettering quill, cwilsen lythrennu, celf,
level, gwastad, celf,
level over, trosoli, celf,
leverage, trosoliad, celf,
leverage, trosoledd, celf,
lid, clawr, celf,
life drawing, bywluniad, celf,
life-size, gwir faint, celf,
life-size proportion, cyfrannedd maint iawn, celf,
lifelike, real, celf,
light, goleuo, celf,
light, golau, celf,
light and shade, tywyll a golau, celf,
light fast pigment, pigment golau anniflan, celf,
light red, coch golau, celf,
light ruby, rhuddgoch golau, celf,
light tone, tôn golau, celf,
limb, aelod, celf,
limestone, calchfaen, celf,
limit, terfyn, celf,
limitation, cyfyngiad, celf,
limited, cyfyngedig, celf,
limited movement, symudiad cyfyngedig, celf,
line, llinell, celf,
line and wash, llinell a golchiad, celf,
line engraving, ysgythriad llinell, celf,
line stitch, pwyth llinell, celf,
linear, llinol, celf,
linear composition, cyfansoddiad llinol, celf,
linear materials, defnyddiau llinol, celf,
linen thread, edau lin, celf,
lines of force, llinellau grym, celf,
lining tool, erfyn llinellu, celf,
lining wheel, olwyn linellu, celf,
lino, leino, celf,
lino cut, torlun leino, celf,
lino cutter, torrell leino, celf,
lino cutting nib, nib torri leino, celf,
lino knife, cyllell leino, celf,
lino print, print leino, celf,
lino printing, printio leino, celf,
lino roller, rholer leino, celf,
lino-block printing, printio bloc leino, celf,
lino-printing ink, inc printio leino, celf,
linseed oil, olew had llin, celf,
linson, linson, celf,
lintel, capan drws, celf,
liquid, hylif, celf,
liquid colour, lliw hylifol, celf,
liquid medium, cyfrwng hylif, celf,
liquid soap, sebon hylif, celf,
list, rhestr, celf,
literary, llenyddol, celf,
literary art, celfyddyd lenyddol, celf,
lithograph, lithograff, celf,
lithography, lithograffi, celf,
load, llwyth, celf,
load, llwytho, celf,
loam, lom, celf,
local colour, lliw lleol, celf,
locate, lleoli, celf,
location, lleoliad, celf,
location in space, safle mewn gwagle, celf,
long, hir, celf,
long and short stitch, hirbwyth a byrbwyth, celf,
long-arm stapler, styffylwr hir, celf,
long-armed cross stitch, pwyth croes hirfraich, celf,
loom, gwŷdd, celf,
loop, dolen, celf,
loop and tie, dolen a chwlwm, celf,
looped stitch, pwyth dolen, celf,
loose dye, llifyn llac, celf,
loose-leaf book, llyfr dalennau rhydd, celf,
lopsided, cam, celf,
lose colour, colli lliw, celf,
lost-wax process, proses cwyr coll, celf,
low relief, cerfwedd isel, celf,
lower case letter, llythyren fach, celf,
lozenge graver, crafell losin, celf,
lubricate, iro, celf,
ludo, liwdo, celf,
lug, clust, celf,
lukewarm, claear, celf,
lukewarm water, dŵr claear, celf,
lumber, coed, celf,
luminarists, goleueddwyr, celf,
luminosity, goleuedd, celf,
luminous, goleuol, celf,
lustre, gloywedd, celf,
lustre pottery, crochenwaith gloywedd, celf,
lustrous material, defnydd gloyw, celf,
luting, liwtio, celf,
lychgate, porth mynwent, celf,
lying down, gorweddol, celf,
lying press, gwasg osod, celf,
mace, byrllysg, celf,
machine, peiriant, celf,
machine embroidery, brodwaith peiriant, celf,
machinery, peirianwaith, celf,
macramé, macramé, celf,
macramé twine, cortyn macramé, celf,
made environment, amgylchedd gwneud, celf,
made form, ffurf wneud, celf,
magazine, cylchgrawn, celf,
magazine cover, clawr cylchgrawn, celf,
magazine rack, rhesel gylchgronau, celf,
magenta, magenta, celf,
magic, hud, celf,
magic chain stitch, pwyth cadwyn hud, celf,
magnification, chwyddhad, celf,
magnify, chwyddo, celf,
magnifying glass, chwyddwydr, celf,
mahlstick, ffon peintiwr, celf,
mahogany, mahogani, celf,
maintenance, cynnal a chadw, celf,
majolica, majolica, celf,
major axis, echelin hwyaf, celf,
make, gwneud, celf,
make-believe, ffug, celf,
make-believe, dychymyg, celf,
make-believe, smalio, celf,
make-up, colur, celf,
make-up, coluro, celf,
make-up box, blwch coluro, celf,
malleable, hydrin, celf,
mallet, gordd, celf,
man-made object, gwrthrych gwneud, celf,
mandarin ink, inc mandarin, celf,
mandorla, mandorla, celf,
mandrel, mandrel, celf,
manganese, manganîs, celf,
manilla, manila, celf,
manilla paper, papur manila, celf,
manipulate, llawdrin, celf,
manipulation, llawdriniaeth, celf,
manipulative skill, sgìl llawdriniol, celf,
mannerism, darddulliaeth, celf,
mannerist, darddullaidd, celf,
mannerist, darddullwr, celf,
mannerist style, arddull darddullaidd, celf,
mansard roof, to mansard, celf,
mantelpiece, silff ben tân, celf,
mantle, mantell, celf,
mantle, mantellu, celf,
manuscript, llawysgrif, celf,
manuscript ink, inc llawysgrif, celf,
manuscript lettering, llythrennu llawysgrif, celf,
map, mapio, celf,
mapping pen, pen mapio, celf,
maquette, maquette, celf,
marble, marmor, celf,
marbling, marmori, celf,
marbling colour, lliw marmori, celf,
marbling comb, crib farmori, celf,
marbling effects, effeithiau marmori, celf,
marbling technique, techneg marmori, celf,
marbling trough, cafn marmori, celf,
margin, ymyl, celf,
margin stop, stop ymyl, celf,
marine painting, môr-baentiad, celf,
marine painting, môr-beintio, celf,
marionette, pyped, celf,
mark, marc, celf,
mark, marcio, celf,
mark out, marcio, celf,
marker, marciwr, celf,
marking medium, cyfrwng marcio, celf,
marl, marl, celf,
marouflage, marouflage, celf,
marquetry, argaenwaith, celf,
mask, masgio, celf,
mask, mwgwd, celf,
mask, cuddio, celf,
masking tape, tâp masgio, celf,
mass, màs, celf,
mass media, cyfryngau torfol, celf,
massage, tylino'r corff, celf,
master cast, cast gwreiddiol, celf,
master copy, copi gwreiddiol, celf,
matching, cydweddu, celf,
matchstick, coes matsen, celf,
material, defnydd, celf,
material object, gwrthrych materol, celf,
matt, mat, celf,
matt fibreglass, ffibrwydr mat, celf,
matt finish, gorffeniad mat, celf,
matt glaze, gwydredd mat, celf,
matt surface, arwyneb mat, celf,
matt varnish, farnais mat, celf,
matting tool, erfyn matio, celf,
mature, aeddfed, celf,
mauve, porffor gwelw, celf,
maximum, uchafbwynt, celf,
maximum, mwyaf, celf,
maypole, bedwen fai, celf,
measure, mesur, celf,
measurement, mesuriad, celf,
mechanical, mecanyddol, celf,
mechanical form, ffurf beiriannol, celf,
mechanical structure, ffurfiad mecanyddol, celf,
mechanism, mecanwaith, celf,
medal, medal, celf,
medieval, canoloesol, celf,
medium, cyfrwng, celf,
medium grain, graen canol, celf,
melamine, melamin, celf,
melamine base, sylfaen melamin, celf,
melanesian, melanesaidd, celf,
melanesian art, celfyddyd felanesaidd, celf,
melt, ymdoddi, celf,
memory, cof, celf,
memory map, map y cof, celf,
mend, trwsio, celf,
menu, bwydlen, celf,
mercerized, sglein, celf,
mercerized cord, cortyn sglein, celf,
mercerized cotton, cotwm sglein, celf,
mesh, rhwyll, celf,
mesolithic, mesolithig, celf,
metal, metel, celf,
metal bending, plygu metel, celf,
metal casting, castio metel, celf,
metal cladding, gwisgo metel, celf,
metal cutting, torri metel, celf,
metal fabrication, ffabrigo metel, celf,
metal fastener, ffasnydd metel, celf,
metal filler, llenwad metel, celf,
metal foil, ffoil metel, celf,
metal forging, gofannu metel, celf,
metal pouring, arllwys metel, celf,
metal sawing, llifio metel, celf,
metal shearing, torri metel, celf,
metallic, metelig, celf,
metallizing, meteleiddio, celf,
metaphysical, metaffisegol, celf,
method, dull, celf,
method of colour mixing, dull cymysgu lliwiau, celf,
methylated spirits, gwirod methyl, celf,
meticulous, gofalus iawn, celf,
metric, metrig, celf,
metric measure, mesur metrig, celf,
metric rule, riwl fetrig, celf,
metric system, system fetrig, celf,
mezzotint, mesotint, celf,
mica, mica, celf,
mica flake, fflaw mica, celf,
micro-crystalline, microgrisialog, celf,
micro-crystalline wax, cwyr microgrisialog, celf,
mid cadmium yellow, melyn cadmiwm canol, celf,
mid chrome yellow, melyn crôm canol, celf,
middle distance, pellter canol, celf,
middle tuit, tuit canol, celf,
mig welding, weldio mig, celf,
mildew, llwydni, celf,
mill, melin, celf,
mill, melino, celf,
millboard, bwrdd melin, celf,
mimetic, dynwaredol, celf,
miniature, model, celf,
miniature painting, mân-ddarlun, celf,
miniature painting, mân-ddarlunio, celf,
minimalism, minimaliaeth, celf,
minimum, lleiaf, celf,
minoan, minoaidd, celf,
minoan art, celfyddyd finoaidd, celf,
minor axis, echelin leiaf, celf,
minute, bach iawn, celf,
mirror, drych, celf,
missal, llyfr offeren, celf,
mitre, meitr, celf,
mitre box, blwch meitro, celf,
mitred corner, cornel feitrog, celf,
mix, cymysgu, celf,
mixing medium, cyfrwng cymysgu, celf,
mixing palette, palet cymysgu, celf,
mixing tray, hambwrdd cymysgu, celf,
mixture, cymysgedd, celf,
mobile, symudol, celf,
mobile, symudyn, celf,
model, model, celf,
model, model, celf,
model, modelu, celf,
modelling, modelu, celf,
modelling board, bwrdd modelu, celf,
modelling cement, sment modelu, celf,
modelling clay, clai modelu, celf,
modelling compound, cyfansoddyn modelu, celf,
modelling material, defnydd modelu, celf,
modelling stand, stand modelu, celf,
modelling tools, offer modelu, celf,
modelling wax, cwyr modelu, celf,
modelling wheel, olwyn fodelu, celf,
modification, addasiad, celf,
modify, addasu, celf,
modular, modiwlaidd, celf,
module, modiwl, celf,
